Date,Description,Debit,Credit,Amount,Category Type,Category
23/05/23,SAT,76,0,-76,expenses,Taxes
25/05/23,PAGO CUENTA DE TERCERO,0,1000,1000,income,Other
25/05/23,PAYPAL *UBER BV,109.98,0,-109.98,expenses,Transportation
26/05/23,SPEI RECIBIDOSTP,0,600,600,income,Other
27/05/23,PAGO CUENTA DE TERCERO,150,0,-150,expenses,Other
29/05/23,DLOCAL *DIDIFOOD,170.6,0,-170.6,expenses,Food
29/05/23,AMAZON PRIME,99,0,-99,expenses,Technology
29/05/23,SPEI ENVIADO SANTANDER,55,0,-55,expenses,Other
29/05/23,PAYPAL *UBER BV,130.65,0,-130.65,expenses,Transportation
30/05/23,PAYPAL *UBER BV,59.96,0,-59.96,expenses,Transportation
31/05/23,SPEI ENVIADO SANTANDER,51,0,-51,expenses,Other
31/05/23,SPEI RECIBIDONAFIN,0,8000,8000,income,Other
31/05/23,PAGO INTERBANCARIO TDC,7200,0,-7200,expenses,Banking Services
1/6/2023,PAYPAL SPOTIFY,115,0,-115,expenses,Leisure and Entertainment
2/6/2023,SPEI ENVIADO BANAMEX,500,0,-500,expenses,Debts and Loans
2/6/2023,PAGO CUENTA DE TERCERO,135,0,-135,expenses,Other
2/6/2023,PAYPAL *UBER BV,110.47,0,-110.47,expenses,Transportation
2/6/2023,UNIV POLITECNICA YUC,440,0,-440,expenses,Education
2/6/2023,EXTRA 235 AGUILAS,12,0,-12,expenses,Other
2/6/2023,KFC ALTABRISA,174,0,-174,expenses,Food
2/6/2023,KRIS KREME GRAN PZA AL,70,0,-70,expenses,Food
2/6/2023,MERPAGO*MARKET TP,45,0,-45,expenses,Technology
2/6/2023,MINISO ALTABRISA MERID,294.6,0,-294.6,expenses,Shopping
4/6/2023,SPEI RECIBIDOSANTANDER,0,1737.89,1737.89,income,Debts and Loans
5/6/2023,OXXO CENTRAL DEABASTOS,101.5,0,-101.5,expenses,Supermarket
5/6/2023,PAGO CUENTA DE TERCERO,0,889,889,income,Other
5/6/2023,PAGO CUENTA DE TERCERO,0,1000,1000,income,Other
5/6/2023,PAYPAL *UBER BV,69.91,0,-69.91,expenses,Transportation
6/6/2023,PAGO CUENTA DE TERCERO,0,200,200,income,Other
6/6/2023,RETIRO CAJERO AUTOMATICO,200,0,-200,expenses,Banking Services
6/6/2023,RADIOLOGIA E IMAGEN IN,890,0,-890,expenses,Health
6/6/2023,OXXO SAN BENITO CASH,1032,0,-1032,expenses,Supermarket
7/6/2023,PAGO CUENTA DE TERCERO,0,453,453,income,Other
7/6/2023,PAYPAL *UBER BV,79.99,0,-79.99,expenses,Transportation
7/6/2023,NUTRISA12785 GAL MERID,90,0,-90,expenses,Food
7/6/2023,PAYPAL *UBER BV,89.91,0,-89.91,expenses,Transportation
7/6/2023,CAUCEL,95.01,0,-95.01,expenses,Other
8/6/2023,PAYPAL *UBER BV,91.34,0,-91.34,expenses,Transportation
8/6/2023,CLIP MX*LA HOJALDRA VO,20,0,-20,expenses,Food
8/6/2023,PAYPAL *UBER BV,52.03,0,-52.03,expenses,Transportation
9/6/2023,SPEI ENVIADO BANAMEX,620,0,-620,expenses,Debts and Loans
9/6/2023,PAYPAL *UBER BV,79.99,0,-79.99,expenses,Transportation
9/6/2023,PAYPAL *UBER BV,59.9,0,-59.9,expenses,Transportation
9/6/2023,PAYPAL UBER BV,50,0,-50,expenses,Transportation
10/6/2023,PAGO CUENTA DE TERCERO,0,80,80,income,Other
10/6/2023,PAGO CUENTA DE TERCERO,600,0,-600,expenses,Other
12/6/2023,OXXO MARSELLA MID,121.5,0,-121.5,expenses,Supermarket
12/6/2023,PAYPAL *UBER BV,98.99,0,-98.99,expenses,Transportation
12/6/2023,PAYPAL *UBERBV EATS,364.7,0,-364.7,expenses,Food
12/6/2023,PAYPAL *UBER BV,69.99,0,-69.99,expenses,Transportation
